Disease,class,x1,x2
"Hello, I am a 71 year old male. I have had an uncomfortable throat for several months, along with difficulty swallowing solid food",mouth_face,2.66386082222,-16.2649368581
I have a sore throat,mouth_face,1.32249893305,-18.9715759642
Sore throat,mouth_face,1.32243497199,-19.0110318225
Constipation ,abdomen,0.380020952629,13.1422214696
I am suffering ,non-anatomical,0.359493503362,-3.80527811304
suffering constipation ,abdomen,0.244170417505,12.9328998483
why am I still constipated?,abdomen,0.659055375663,12.3949469204
i can't bear the pain in my stomach,abdomen,11.5594123965,17.2214022465
Constipation ,abdomen,0.362937798558,13.1292991194
I am struggling with bowel movements,abdomen,1.33771655814,10.8379953417
some stomach problems,abdomen,11.0472265836,17.9943197669
Changed bowel movement,abdomen,1.39445785991,10.836969307
I have fallen over and hurt my head ,head,-17.511975325,-1.99407379776
I fell over this more and hit my head ,head,-17.4161704376,-1.82875566434
Concussion?,head,-25.0220784763,-2.48858511494
I hit my head,head,-17.6187034739,-2.11995974717
i have hit my head and have a bruising and black eye,head,-17.6921614516,-0.740770580876
Head injury,head,-18.4298661389,-2.01678867969
not feeling too good,non-anatomical,0.0654137474881,-4.73633177992
Head injury and consequent symptoms,head,-18.7258781487,-1.90300923883
Brain bleeding symptoms,head,-5.19742459452,-8.49602494112
I have an ear ache,ear,15.3349089961,-3.46919747355
My ears hurt ,ear,15.908798137,-2.47268621895
I have an Earache ,ear,13.6244436282,-3.86691092126
I've got earache in one ear,ear,15.1895068732,-2.84342990315
i feel pain in my ear,ear,15.8984001527,-2.14889440857
described earache,ear,13.1912756648,-4.03414014213
Hearing loss and possible blockage by wax,ear,14.5881455596,-3.92961178591
I have bad pain when having sex,sexual_health,-12.0303512822,3.81992228647
Sex is very painful,sexual_health,-13.1340642422,4.28416101112
I have pain during sex ,sexual_health,-12.1321447226,3.85290237201
throwing up after sex,sexual_health,-11.6624599145,5.33291105483
i have pain while performing coitus,sexual_health,-11.6484588196,3.83524669893
I am concerned I may have an STD,sexual_health,2.570997237,2.94704151933
pain during sex,sexual_health,-12.1920007643,3.87767817703
Pain after intercourse,sexual_health,-12.1132535926,3.86395565801
I am experiencing pain having sex using the merina coil,sexual_health,-12.1473673501,3.87092663969
i feel nausea,abdomen,0.0132601443279,14.3818146231
Feeling sick after taking prescribed medication for infection surrounding tooth abscess ,abdomen,1.96978139857,-14.11356648
Intermittent episodes of bloating & diarrhoea ,abdomen,-1.21993435324,12.5648029695
Bloated and uncomfortable after eating ,abdomen,-1.77751412496,11.8989734957
Constant bloating ,abdomen,0.258811567398,13.4506724215
i have had excessive gas lately,abdomen,3.54075027969,-1.9451786766
wind and diarrhoea,abdomen,-0.652551396683,12.5466418092
"Described bloating, diarrhoea and passing wind more frequently after eating certain foods, but not able to identify cause.",abdomen,-1.20222867067,12.1723335114
Excessive dry skin on scalp for past 6 months,dermatology,-3.70412069459,-11.1967291125
i have dry skin on my hair,dermatology,-3.79006332067,-11.2586804477
Runny nose changed into coughing ,nose,5.57600298312,11.1098295657
Coughing up white gunk ,chest,10.9274713327,10.5424290344
Runny nose turn to cough ,chest,5.5558152351,11.1087910978
Shortness of breath ,chest,12.5082469176,9.37988322395
really bad cough,chest,9.32635233196,10.400516978
I am struggling to breath some times and now have a cough,chest,10.0483832289,8.5312076473
short of breath,chest,12.5443034321,10.0349219066
Concerned that recent cough maybe result of smoking,chest,8.79179279058,8.99677387102
Burns when passing water,sexual_health,4.19288269114,-1.60992891098
I have burning pain when I wee,sexual_health,0.828607884488,3.74461815677
Burning when I pee ,sexual_health,0.402062299503,5.27850911863
Pain on urinating ,sexual_health,-1.25978805373,5.26111001544
painful urination,sexual_health,-0.672941515397,6.3710223453
i have pain while peeing,sexual_health,-0.922439735153,4.85335860532
Urinary tract infectiom,sexual_health,-2.46092711423,16.8094662177
I am experiencing burning when using the toilet,sexual_health,-2.74968033449,6.97429844466
Burning on passing urine,sexual_health,-0.772658440424,5.97280577837
I have lower back pain and it burns when I pee. Why?,back,14.5034038225,-11.0046436995
i have mildly painful eye,eye,-11.6797602972,12.4170413524
Painful eye,eye,-11.7853812399,12.4044424855
my eyelid is red and swollen. Its a bit painful,eye,-9.80456493236,11.4195180625
painful eye,eye,-11.7947837849,12.3859631463
"""My eye hurts""",eye,-11.6208756374,12.4746156403
I have a sore eye,eye,-11.6841203945,12.5139178277
i have a productive cough and runny nose,chest,6.16329424619,10.9759740295
Cough,chest,9.5445620719,10.6250741845
"I have had what I think was flu, its left me with a nasty cough and runny nose for a few days now",chest,5.73925612755,11.0243964106
runy nose,nose,-18.0063894519,10.0236616141
I have a bad cough and runny nose,chest,6.16837910546,10.9786909734
I have a cough,chest,9.39489760014,10.478924979
i feel dizzy,non-anatomical,-7.45352442182,-3.83035844876
Dizziness,non-anatomical,-7.24608560441,-2.60796196893
"I keep feeling dizzy, it's really worrying me!",non-anatomical,-7.61952076543,-3.17514852742
feeling dizzy,non-anatomical,-7.64843244357,-3.40893003743
I feel really dizzy,non-anatomical,-7.44751096766,-3.85154203638
I've been feeling dizzy,non-anatomical,-7.6110388047,-3.43540518632
voice change,mouth_face,5.13572460943,-14.6374104841
I've been losing my voice over the past few weeks,mouth_face,5.06384104147,-15.0545211843
voice has changed,mouth_face,5.17579128357,-14.6347296939
My voice is weird,mouth_face,5.41202617673,-14.4308684874
My voice is hoarse,mouth_face,5.41118820095,-14.3769613694
nose bleed,nose,-17.8051809564,10.2662254603
bleeding from his nose,nose,-18.1342782531,10.0628175133
I've just had a nose bleed,nose,-17.7889266377,10.3836440058
nosebleeds,nose,5.14979171321,6.50965881639
I got a nosebleed,nose,5.17345388912,6.51781750696
I've got sudden nose bleed,nose,-17.8088461335,10.3035405818
pain going too loo,nose,-2.64378239419,5.7782843783
pain when going to the loo,abdomen,-2.70777069076,5.85982190112
my bum was bleeding when I went to the toilet,bottom,-3.52123289021,2.72117827119
blood in my pooh,bottom,-4.42854273183,4.31352259115
It hurts to poo,bottom,-4.66333895591,5.65663703451
Painful using the toilet,bottom,-2.52772704015,6.89601587213
hair on face,mouth_face,-2.59522831752,-12.5103365785
hair growing on face,mouth_face,-2.51442664625,-12.4771754655
I've got hair growing on my face and I look awful. I'm getting bullied.,mouth_face,-2.31338699811,-12.7367490591
hair growing on upper lip,mouth_face,-1.7250023055,-12.5928054967
I have excess hair growing on my face,mouth_face,-2.62410561609,-12.5636854436
I've got hair on my face!,mouth_face,-2.62359752913,-12.5993918089
i have a painful wrist,hand,20.9927812555,2.88629732982
painful wrist,hand,21.0131784922,2.89358433355
I punched the wall and now my fist really hurts,hand,17.9272347794,4.0525443808
painful wrist,hand,21.0008124879,2.90742093815
Very painful wrist,hand,21.0361717749,2.84594354248
"My wrist hurts, it's painful",hand,21.2082647582,2.73394134397
burnt hand,hand,19.5572270197,4.16739159876
burnt hand,hand,19.5554388535,4.16473814435
I burnt my hand on an iron,hand,19.2156070351,5.08076651175
burnt hand,hand,19.5572286697,4.16739216774
I burned my hand,hand,19.7524516234,4.07924599767
I burnt my hand,hand,19.7284189013,4.08882109537
Sore lips like blisters,mouth_face,5.90433310297,-22.8499010799
Sore lips like blisters,mouth_face,5.90433339499,-22.8499009776
Sore lips like blisters,mouth_face,5.90433315028,-22.8499010276
Sore lips like blisters,mouth_face,5.90418447319,-22.8660552674
Sore lips like blisters,mouth_face,5.90433317058,-22.8499010861
Sore lips like blisters,mouth_face,5.90430355483,-22.8498671048
Sore lips like blisters,mouth_face,5.90433344277,-22.8499010041
I have a sharp pain in my  and difficulty in breathing ,chest,12.0269289063,8.13179583645
i think I'm having a heart attack,chest,11.8285055259,6.52531173654
I've got some sudden chest pains,chest,9.67863733109,4.52852980263
"My heart has closed up and feels very tight, what shall I do?",chest,10.5126051568,6.79092889141
I have sudden onset chest pain,chest,9.35091976888,3.69321658564
"I have an adominal migraine and I occasionally vomit, has got worse from stress",abdomen,-3.61354947528,13.8478872009
I have abdominal pain,abdomen,9.37088333035,17.5375220542
I have had sporadic pain in my stomach area and recently has been more frequent. What shall I do?,abdomen,7.90207602359,15.6014096778
I have bouts of vomiting and abdominal pain,abdomen,7.85633181865,16.5092866183
stress vomiting,abdomen,-1.25533291577,13.1472867404
Swollen legs with varicose veins got worse when standing ,leg,-10.8936053328,-10.3776040636
i have varicose veins,leg,8.032502412,-7.0256112303
I have varicose veins that get worse when standing,leg,8.16775439223,-7.04259080921
problems with legs and veins,leg,-11.1791651513,-11.1121671328
I need to urinate a lot more than usual,sexual_health,-0.0126977876678,7.56122227859
I have thirst and urgent urination,sexual_health,-0.873675014526,7.73161927596
I goo to wee too much ?,sexual_health,1.61319643108,4.84877749197
I might have std as have swollen testicals  and pain urinating,sexual_health,-2.01813649611,5.17948229041
i have discharge coming out of my cock,sexual_health,-5.97490972944,16.5006668009
"My penis is leaking discharge and my urination is hurting, do I have an STD?",sexual_health,-5.08110180848,20.200478011
I have penile discharges,sexual_health,-4.8684561014,18.8475638241
pain on my penis and discharge ,sexual_health,-5.84904610009,20.5788982642
Have a lump in my breast,breast,2.75515310322,18.5648420059
i have lumpy tits,breast,1.51079927432,6.22717577604
"I have a small lump on one of my breasts, its not tender and Im worried it might be breast cancer",breast,2.42526602663,18.8777967154
I have a breast lump,breast,3.34074744788,17.9988348974
breast lump,breast,3.41982889467,17.925872835
Have blister on right foot,foot,-6.45744193856,-17.7834570895
i got a blister on my foot,foot,-6.50567328848,-17.8143613735
I have a blister on my heel,foot,-6.56109590314,-17.9799242363
"I have a blister on my foot and its been hurting for 3 hours, what shall i do?",foot,-6.0417262296,-18.1402965143
I have a blister on my foot,foot,-6.50495269305,-17.7979276749
Sharp left shoulder pain with swelling ,arm,-16.9786137704,-11.2032006429
my shoulder hurts,arm,-17.1804252515,-11.3881718692
Sharp pain in left shoulder,arm,-17.6410953687,-11.0856380745
My left shoulder hurts after going to the gym and now it is swollen,arm,-16.3974926774,-11.238036323
I have a weights induced shoulder pain,arm,-17.0319435326,-10.5598997758
shoulder pain after the gym ,arm,-16.7501754858,-11.1066871955
Short sighted feeling dizzy when sqinting ,eye,-7.2883868024,-2.66478974321
i cannot see very far,eye,-11.3236060131,8.73868103637
I can't see very well,eye,-11.4327410662,8.70980854738
I have blurred vision thats giving me a headache,eye,-19.4532473371,2.17327354195
I have issues seeing things far away,eye,3.98188660172,0.891078377031
Ive got blurred vision over distance,eye,-10.5362537622,9.95856755139
can't see properly,eye,-11.4255162533,8.71412582952
I am suffering from recurring dry eyes,eye,-11.7506596012,11.9217602925
Dry painful eyes ,eye,-11.9636506188,12.0930417555
Have you tried using any eye drops,eye,-10.271841283,12.1375538579
I have Dry Eyes,eye,-12.0642816279,11.8002477321
"Hi im worried about my eyes, they are frequently very dry and can be quite uncomfortable",eye,-9.77423189413,11.398009246
"I have had a problem with my eyes, vision is fine but my eyes are dry",eye,-10.0766974175,11.3473303226
Dry eyes,eye,-12.2057231875,11.8518980477
My eyes are dry,eye,-12.0133253872,10.6367783233
 i have dry eyes,eye,-12.0619656221,11.8196107273
I got dry eyes and its very uncomfortable,eye,-10.3861100491,11.3820289277
Dry painful eyes ,eye,-11.9553327683,12.0783443987
I have a headache and a fever that isn't going away,head,-22.0494294196,0.399248979174
Fever for two days,non-anatomical,-5.47964441832,-2.4672740205
I have a bad headache and a dry cough for 2 days now. Its getting worse,head,-22.1746541234,1.43011846689
Hello I think I have flu,non-anatomical,2.77455029634,-5.47620620692
Hi i've got a fever and really quite concerned as it's getting worse,non-anatomical,-1.64094810673,-3.33172224068
I've had a headache for 2 days and a fever,head,-21.8884868115,0.291177105664
I have fever and cough,non-anatomical,9.30897067679,10.733812239
headache with fever,head,-25.0588545553,-0.350593683859
i got a headache and fever for past two days,head,-22.0960017316,0.249558639795
Fever for two days,non-anatomical,-5.48519188998,-2.45124280061
"Hi i have woken up with a sore mouth, and i feel like i've not slept",mouth_face,3.94787401462,-16.503254126
I am getting short of breath really easily especially after exercise,chest,10.1655802619,8.37864362085
Shortness of breath,chest,12.5056801356,9.37911515345
I have shortness of breath after minor exercises,chest,11.0032487849,8.57756675516
"Hi, I've become very weezy and wish to see a doctor ASAP",chest,3.0322438307,-7.25480402287
i am struggling to breathe on a regular basis,chest,10.4243729199,8.27637804324
I'm getting short of breath after a few minutes of exercise ,chest,10.2725928102,8.41096118398
Breath difficulty,chest,12.5860438743,10.0590152222
i have asthma,chest,8.1144251607,7.74902477672
for past two months i been having shortness of breath after few minutes of exercise.,chest,10.6633514311,8.40240575889
Shortness of breath,chest,12.5071251718,9.37939031609
I've had a headache for about half an hour,head,-21.6390525868,0.254514781376
Tight headache ,head,-24.5324409986,-1.08425738538
I have a headache all over the front of my head,head,-21.1596346443,-0.393249562991
I've been experiencing a really bad headache ,head,-23.6893311629,-0.921185732694
Hi i've got a headache. It's not killing me but it is unusual for me to have any pain there,head,-21.1207337025,0.626789256769
I have got a headache that has come on in the last 30 minutes ,head,-21.5247093744,0.288684348055
I've got a headache ,head,-23.830288781,-1.00958663706
My head hurts,head,-17.74979741,-2.23384046184
headache,head,-24.9154907953,-1.21094355585
ive got a headache for past 30minutes,head,-21.7110888614,0.212174693217
Tight headache ,head,-24.525578312,-1.09200185028
I have a lump around my anus that is getting bigger. It hurts to sit down,bottom,-4.35413918733,1.87770956438
Lump on anus,bottom,-4.6424443646,2.18072277251
I have a lump round my bum. It is getting bigger,bottom,-2.94397589002,1.90103837064
I have an absess in my anal area,bottom,-2.36121016413,8.31424838036
Hi i've got a lump on my ass and really quite concerned. it's been there for over a week and i can't sit down,bottom,-2.96573781114,1.76574600568
"I have a lump on my bum, it's been getting bigger over the past couple of days",bottom,-2.98860358575,1.87169594407
Anal abscess ,bottom,-1.58357246178,16.8412837187
My ass hurts,bottom,-1.36064058451,2.65333904425
have a lump on my anus,bottom,-4.61724239376,2.17760236747
i got a painful lump around anus and its been getting bigger,bottom,-4.39321257165,1.98909120931
Lump on anus,bottom,-4.68457551057,2.18578757635
I have pins and needles down my arm after leaning on it all day. Have I done permanant damage?,arm,-15.8478243621,-8.53041690105
Arm tingling,arm,-17.111299974,-8.10360401985
I have had pins and needles in my arm and have been leaning on it. help,arm,-15.8956161773,-8.49277673534
"oh i really need help. my arm is tingling and has been for a while, is it neurological. I read something about that.",arm,-15.5485638737,-8.51169439269
I've got pins and needles down my arm,arm,-16.8554631744,-8.5545517088
I can't feel my arm,arm,-17.7719219649,-9.05185191182
tingling in my arm,arm,-17.1519384309,-8.46150786906
Arm tingling,arm,-17.1700096844,-7.91595223298
I have really painful periods that make me sick and gives me headaches. I have to take time off work.,sexual_health,-7.95698670332,6.77647290992
Agonising periods,sexual_health,-8.68552601445,2.5061083632
I have really bad periods pains and have done for the past 6 months,sexual_health,-8.39368903107,4.82781352938
I seem to be suffering from bad period pain,sexual_health,-7.98190218548,4.21481667612
Hi i often feel nauseous and headaches. I get abdominal pain and often have to miss work.,abdomen,-3.19058905292,13.4562814119
Severe period pain for the last 6 months ,sexual_health,-8.23139239101,4.55251220562
Serious period pain,sexual_health,-8.05193490002,4.2025913118
My period hurts in excess,sexual_health,-8.74494319891,3.86141178283
painful period cramps,sexual_health,-8.08040262169,4.86457855979
period pains for past 6months,sexual_health,-8.43596089723,4.48171998281
Agonising periods,sexual_health,-8.7297598196,2.61762407063
I have a painful and stiff knee that makes it harder to walk around,leg,-9.48028971862,-10.9670409418
Knee pain,leg,-9.79084346342,-12.6909173038
I have really bad knee pains especially when walking up and down stairs,leg,-9.36185870753,-11.1187362246
I am suffering from really bad knee pain and wonder if it could be someyhing serious,leg,-9.37383122181,-10.9482482707
"Hi i constantly have sore joints, especially my knee. The girls down the bridge club told me about osteoarthritis, is it this? ",leg,-9.71063280963,-10.1987687158
"I've got a stiff knee, it hurts walking up and down stairs ",leg,-9.42800010833,-11.1098449646
My knee is getting worse,leg,-9.83683153627,-11.8870082238
i have knee pain,leg,-9.79820125706,-12.7349674491
past few months i been having pain in front of my knee,leg,-9.89995280953,-12.9554381234
Knee pain,leg,-9.79084564717,-12.690920409
"I have a sore throat, cough and a headache.",non-anatomical,7.78744559929,-12.003599645
Sore throat,mouth_face,1.31485093813,-19.0092234904
2 days ago I got a sore throat and now have a headache,mouth_face,7.52867760896,-12.4315162593
I have a very sore throat,mouth_face,1.31131351145,-18.9671729156
I've been taking paracetamol for a sore throat for two days but it's not getting better,mouth_face,2.61533095946,-16.3461981691
I've got a sore throat,mouth_face,1.30150570494,-18.9649625671
I have a dry cough associated it a headache it started 2 days ago and got a fever as well. Took some paracetamol ,non-anatomical,8.20344024258,9.11365602967
I have a cold,non-anatomical,-0.523505946185,-3.03840629514
sore throat and headache,mouth_face,7.51881925743,-12.4558550003
i got dry cough and headache past two days since i had throat pain,chest,8.01338606467,9.28674406065
Sore throat,mouth_face,1.32243496825,-19.0110318978
My toenail is hurting and has a yellow colour that seems to be spreading,foot,-5.15983729552,-17.7976812461
my toenail looks discoloured and is sometimes painful when I press on it. It's yellowy-white and seems to be spreading,foot,-5.1523873665,-17.8109800002
painful toenails ,foot,-4.84134891539,-17.1064724366
I've been having constant heartburn,abdomen,-1.81831392963,13.9826729633
"Hello, I've had heartburn for months and it's getting worse. Especially after food or laying down.",abdomen,-2.65243019736,13.7194267512
I have heartburn  it has becoming worse especially after a meal,abdomen,-2.56373365605,13.7152624454
Heartburn,abdomen,-1.48752029399,14.0592070537
Worsening heartburn,abdomen,-1.6719574789,14.0072111727
Long lasting heartburn,abdomen,-2.05018644172,13.8439450421
Continuous heartburn with meals and at night getting worse ,abdomen,-2.42177565624,13.5606684947
Something is not right with my stomach,abdomen,11.657031164,17.4538328258
I have regular heartburn late at night,abdomen,-2.37572858034,13.6873062053
I have a burning pain in my chest that won't go away,chest,8.21171049792,4.39475374475
heartburn worse after big meal and at night,abdomen,-2.47210803099,13.6826144381
heartburn symptoms ,abdomen,-1.58013039771,14.0350839948
I have stomach pains after eating,abdomen,7.93582196053,16.4236183058
"Hi, I've had ringing in my ears for a few months and it won't go away - I think it's affecting my hearing.",ear,16.5540180448,-3.76013226591
I have ringing in my ears,ear,15.8415612744,-2.66505998927
Ringing in ears,ear,15.6778899113,-2.74895606094
Difficulty hearing,ear,14.2952928267,-3.33484049366
Ringing in my ears,ear,15.7762465079,-2.68929514004
Ringing ears and slight hearing loss,ear,16.0634699931,-3.54287010159
My hearing is getting worse,ear,14.5909244272,-2.9606133428
I have a constant ringing in my ear and difficulty hearing sometimes,ear,16.2421745374,-3.43192337573
I have had some ringing in my ears for some time and I find it hard to hear,ear,16.5572627463,-3.62697347707
ringing in ears,ear,15.7064459274,-2.75907249408
i have hearing problems,ear,14.3468123209,-3.36244473382
I have ringing in my ears and hearing loss,ear,16.1906116013,-3.4539777809
Vaginal bleeding,sexual_health,-3.06850926432,18.0660949659
"Hi, I've been having some bleeding but not during my period.",sexual_health,-6.11370663437,7.6935138833
My vagina is bleeding,sexual_health,-3.92067009335,19.267308353
Vaginal bleeding ,sexual_health,-3.05117745119,18.0646217653
vaginal bleeding,sexual_health,-3.06856523926,18.0660025056
Vaginal blood loss out of periods,sexual_health,-2.98904959146,17.9342210863
Bleeding outside of cycle ,sexual_health,-6.0503238185,7.84604714769
I have been suffering from light bleeding when not on my period,sexual_health,-6.11799214713,7.6782391896
I have found some light spotting in my underwear and I'm not sure what it is,sexual_health,1.98523795928,6.83251392513
light vaginal bleeding outside period,sexual_health,-2.90937440466,17.9835629522
I am spotting betwee periods,sexual_health,-8.71404639962,2.38341545829
I've had a lot of diarrhoea this week,abdomen,-0.685375023275,12.3356577652
I have adominalpain and there is blood when I go to the toilet,abdomen,-3.05180877755,6.8622015753
Blood in urine,sexual_health,-1.00344926827,5.9573882429
Blood in stools,bottom,-3.78467610584,3.83244732994
Bowel motions loose and more often than usual,abdomen,1.31462157021,10.7948750536
"blood in stool , and stomach cramps ",abdomen,-0.353938273888,9.90155640945
I'm shitting blood,bottom,-0.626010639114,3.76157383223
I have noticed blood in my stools,bottom,-3.80816672988,3.80983282701
"On a few occasions, I have had to rush to the toilet in the middle of the night.  There was blood in my urine.",sexual_health,-3.0123961776,7.18612269131
blood in stools,bottom,-3.79892305039,3.83358490736
blood in my poo,bottom,-4.42786925717,4.19994743987
I have sharp stomach pains and blood when I poo,abdomen,7.17848867402,15.821084274
Lumps on neck ,neck,11.7210505769,-14.4123658254
